Huyện A Lưới, Thành phố Huế
Huyện Krông Pa, Tỉnh Gia Lai
Huyện Krông Pắc, Tỉnh Đắk Lắk
Huyện Kông Chro, Tỉnh Gia Lai
Huyện Kế Sách, Tỉnh Sóc Trăng
Huyện Kỳ Anh, Tỉnh Hà Tĩnh
Huyện Kỳ Sơn, Tỉnh Nghệ An
Huyện Lai Vung, Tỉnh Đồng Tháp
Huyện Lang Chánh, Tỉnh Thanh Hóa
Huyện Long Hồ, Tỉnh Vĩnh Long
Huyện Long Mỹ, Tỉnh Hậu Giang
Huyện Long Phú, Tỉnh Sóc Trăng
Huyện Long Thành, Tỉnh Đồng Nai
Huyện Long Đất, Tỉnh Bà Rịa - Vũng Tàu
Huyện Lâm Bình, Tỉnh Tuyên Quang
Huyện Lâm Hà, Tỉnh Lâm Đồng
Huyện Lâm Thao, Tỉnh Phú Thọ
Huyện Lý Nhân, Tỉnh Hà Nam
Huyện Lý Sơn, Tỉnh Quảng Ngãi
Huyện Lương Sơn, Tỉnh Hoà Bình
Huyện Lương Tài, Tỉnh Bắc Ninh
Huyện Lạc Dương, Tỉnh Lâm Đồng
Huyện Lạc Sơn, Tỉnh Hoà Bình
Huyện Lạc Thủy, Tỉnh Hoà Bình
Huyện Lạng Giang, Tỉnh Bắc Giang
Huyện Lấp Vò, Tỉnh Đồng Tháp
Huyện Lập Thạch, Tỉnh Vĩnh Phúc
Huyện Lắk, Tỉnh Đắk Lắk
Huyện Lệ Thủy, Tỉnh Quảng Bình
Huyện Lộc Bình, Tỉnh Lạng Sơn
Huyện Lộc Ninh, Tỉnh Bình Phước
Huyện Lục Nam, Tỉnh Bắc Giang
Huyện Lục Ngạn, Tỉnh Bắc Giang
Huyện Lục Yên, Tỉnh Yên Bái
Huyện M'Đrắk, Tỉnh Đắk Lắk
Huyện Mai Châu, Tỉnh Hoà Bình
Huyện Mai Sơn, Tỉnh Sơn La
Huyện Mang Thít, Tỉnh Vĩnh Long
Huyện Mang Yang, Tỉnh Gia Lai
Huyện Minh Hóa, Tỉnh Quảng Bình
Huyện Minh Long, Tỉnh Quảng Ngãi
Huyện Mèo Vạc, Tỉnh Hà Giang
Huyện Mê Linh, Thành phố Hà Nội
Huyện Mù Căng Chải, Tỉnh Yên Bái
Huyện Mường Chà, Tỉnh Điện Biên
Huyện Mường Khương, Tỉnh Lào Cai
Huyện Mường La, Tỉnh Sơn La
Huyện Mường Lát, Tỉnh Thanh Hóa
Huyện Mường Nhé, Tỉnh Điện Biên
Huyện Mường Tè, Tỉnh Lai Châu
Huyện Mường Ảng, Tỉnh Điện Biên
Huyện Mỏ Cày Bắc, Tỉnh Bến Tre
Huyện Mỏ Cày Nam, Tỉnh Bến Tre
Huyện Mộ Đức, Tỉnh Quảng Ngãi
Huyện Mộc Châu, Tỉnh Sơn La
Huyện Mộc Hóa, Tỉnh Long An
Huyện Mỹ Tú, Tỉnh Sóc Trăng
Huyện Mỹ Xuyên, Tỉnh Sóc Trăng
Huyện Mỹ Đức, Thành phố Hà Nội
Huyện Na Hang, Tỉnh Tuyên Quang
Huyện Na Rì, Tỉnh Bắc Kạn
Huyện Nam Giang, Tỉnh Quảng Nam
Huyện Nam Sách, Tỉnh Hải Dương
Huyện Nam Trà My, Tỉnh Quảng Nam
Huyện Nam Trực, Tỉnh Nam Định
Huyện Nam Đàn, Tỉnh Nghệ An
Huyện Nga Sơn, Tỉnh Thanh Hóa
Huyện Nghi Lộc, Tỉnh Nghệ An
Huyện Nghi Xuân, Tỉnh Hà Tĩnh
Huyện Nghĩa Hành, Tỉnh Quảng Ngãi
Huyện Nghĩa Hưng, Tỉnh Nam Định
Huyện Nghĩa Đàn, Tỉnh Nghệ An
Huyện Nguyên Bình, Tỉnh Cao Bằng
Huyện Ngân Sơn, Tỉnh Bắc Kạn
Huyện Ngọc Hiển, Tỉnh Cà Mau
Huyện Ngọc Hồi, Tỉnh Kon Tum
Huyện Ngọc Lặc, Tỉnh Thanh Hóa
Huyện Nho Quan, Tỉnh Ninh Bình
Huyện Nhà Bè, Thành phố Hồ Chí Minh
Huyện Nhơn Trạch, Tỉnh Đồng Nai
Huyện Như Thanh, Tỉnh Thanh Hóa
Huyện Như Xuân, Tỉnh Thanh Hóa
Huyện Ninh Giang, Tỉnh Hải Dương
Huyện Ninh Hải, Tỉnh Ninh Thuận
Huyện Ninh Phước, Tỉnh Ninh Thuận
Huyện Ninh Sơn, Tỉnh Ninh Thuận
Huyện Nông Cống, Tỉnh Thanh Hóa
Huyện Núi Thành, Tỉnh Quảng Nam
Huyện Năm Căn, Tỉnh Cà Mau
Huyện Nậm Nhùn, Tỉnh Lai Châu
Huyện Nậm Pồ, Tỉnh Điện Biên
Huyện Phong Thổ, Tỉnh Lai Châu
Huyện Phong Điền, Thành phố Cần Thơ
Huyện Phù Cát, Tỉnh Bình Định
Huyện Phù Cừ, Tỉnh Hưng Yên
Huyện Phù Mỹ, Tỉnh Bình Định
Huyện Phù Ninh, Tỉnh Phú Thọ
Huyện Phù Yên, Tỉnh Sơn La
Huyện Phú Bình, Tỉnh Thái Nguyên
Huyện Phú Giáo, Tỉnh Bình Dương
Huyện Phú Hoà, Tỉnh Phú Yên
Huyện Phú Lương, Tỉnh Thái Nguyên
Huyện Phú Lộc, Thành phố Huế
Huyện Phú Ninh, Tỉnh Quảng Nam
Huyện Phú Quí, Tỉnh Bình Thuận
Huyện Phú Riềng, Tỉnh Bình Phước
Huyện Phú Thiện, Tỉnh Gia Lai
Huyện Phú Tân, Tỉnh An Giang
Huyện Phú Tân, Tỉnh Cà Mau
Huyện Phú Vang, Thành phố Huế
Huyện Phú Xuyên, Thành phố Hà Nội
Huyện Phúc Thọ, Thành phố Hà Nội
Huyện Phước Long, Tỉnh Bạc Liêu
Huyện Phước Sơn, Tỉnh Quảng Nam
Huyện Phụng Hiệp, Tỉnh Hậu Giang
Huyện Pác Nặm, Tỉnh Bắc Kạn
Huyện Quan Hóa, Tỉnh Thanh Hóa
Huyện Quan Sơn, Tỉnh Thanh Hóa
Huyện Quang Bình, Tỉnh Hà Giang
Huyện Quản Bạ, Tỉnh Hà Giang
Huyện Quảng Hòa, Tỉnh Cao Bằng
Huyện Quảng Ninh, Tỉnh Quảng Bình
Huyện Quảng Trạch, Tỉnh Quảng Bình
Huyện Quảng Xương, Tỉnh Thanh Hóa
Huyện Quảng Điền, Thành phố Huế
Huyện Quế Phong, Tỉnh Nghệ An
Huyện Quế Sơn, Tỉnh Quảng Nam
Huyện Quốc Oai, Thành phố Hà Nội
Huyện Quỳ Châu, Tỉnh Nghệ An
Huyện Quỳ Hợp, Tỉnh Nghệ An
Huyện Quỳnh Lưu, Tỉnh Nghệ An
Huyện Quỳnh Nhai, Tỉnh Sơn La
Huyện Quỳnh Phụ, Tỉnh Thái Bình
Huyện Sa Thầy, Tỉnh Kon Tum
Huyện Si Ma Cai, Tỉnh Lào Cai
Huyện Sìn Hồ, Tỉnh Lai Châu
Huyện Sóc Sơn, Thành phố Hà Nội
Huyện Sông Hinh, Tỉnh Phú Yên
Huyện Sông Lô, Tỉnh Vĩnh Phúc
Huyện Sông Mã, Tỉnh Sơn La
Huyện Sơn Dương, Tỉnh Tuyên Quang
Huyện Sơn Hà, Tỉnh Quảng Ngãi
Huyện Sơn Hòa, Tỉnh Phú Yên
Huyện Sơn Tây, Tỉnh Quảng Ngãi
Huyện Sơn Tịnh, Tỉnh Quảng Ngãi
Huyện Sơn Động, Tỉnh Bắc Giang
Huyện Sốp Cộp, Tỉnh Sơn La
Huyện Tam Bình, Tỉnh Vĩnh Long
Huyện Tam Dương, Tỉnh Vĩnh Phúc
Huyện Tam Nông, Tỉnh Phú Thọ
Huyện Tam Nông, Tỉnh Đồng Tháp
Huyện Tam Đường, Tỉnh Lai Châu
Huyện Tam Đảo, Tỉnh Vĩnh Phúc
Huyện Than Uyên, Tỉnh Lai Châu
Huyện Thanh Ba, Tỉnh Phú Thọ
Huyện Thanh Bình, Tỉnh Đồng Tháp
Huyện Thanh Chương, Tỉnh Nghệ An
Huyện Thanh Hà, Tỉnh Hải Dương
Huyện Thanh Liêm, Tỉnh Hà Nam
Huyện Thanh Miện, Tỉnh Hải Dương
Huyện Thanh Oai, Thành phố Hà Nội
Huyện Thanh Sơn, Tỉnh Phú Thọ
Huyện Thanh Thuỷ, Tỉnh Phú Thọ
Huyện Thanh Trì, Thành phố Hà Nội
Huyện Thiệu Hóa, Tỉnh Thanh Hóa
Huyện Thoại Sơn, Tỉnh An Giang
Huyện Thuận Bắc, Tỉnh Ninh Thuận
Huyện Thuận Châu, Tỉnh Sơn La
Huyện Thuận Nam, Tỉnh Ninh Thuận
Huyện Thái Thụy, Tỉnh Thái Bình
Huyện Tháp Mười, Tỉnh Đồng Tháp
Huyện Thăng Bình, Tỉnh Quảng Nam
Huyện Thường Tín, Thành phố Hà Nội
Huyện Thường Xuân, Tỉnh Thanh Hóa
Huyện Thạch An, Tỉnh Cao Bằng
Huyện Thạch Hà, Tỉnh Hà Tĩnh
Huyện Thạch Thành, Tỉnh Thanh Hóa
Huyện Thạch Thất, Thành phố Hà Nội
Huyện Thạnh Hóa, Tỉnh Long An
Huyện Thạnh Phú, Tỉnh Bến Tre
Huyện Thạnh Trị, Tỉnh Sóc Trăng
Huyện Thọ Xuân, Tỉnh Thanh Hóa
Huyện Thống Nhất, Tỉnh Đồng Nai
Huyện Thới Bình, Tỉnh Cà Mau
Huyện Thới Lai, Thành phố Cần Thơ
Huyện Thủ Thừa, Tỉnh Long An
Huyện Tiên Du, Tỉnh Bắc Ninh
Huyện Tiên Lãng, Thành phố Hải Phòng
Huyện Tiên Lữ, Tỉnh Hưng Yên
Huyện Tiên Phước, Tỉnh Quảng Nam
Huyện Tiên Yên, Tỉnh Quảng Ninh
Huyện Tiền Hải, Tỉnh Thái Bình
Huyện Tiểu Cần, Tỉnh Trà Vinh
Huyện Tri Tôn, Tỉnh An Giang
Huyện Triệu Phong, Tỉnh Quảng Trị
Huyện Triệu Sơn, Tỉnh Thanh Hóa
Huyện Trà Bồng, Tỉnh Quảng Ngãi
Huyện Trà Cú, Tỉnh Trà Vinh
Huyện Trà Ôn, Tỉnh Vĩnh Long
Huyện Tràng Định, Tỉnh Lạng Sơn
Huyện Trùng Khánh, Tỉnh Cao Bằng
Huyện Trường Sa, Tỉnh Khánh Hòa
Huyện Trạm Tấu, Tỉnh Yên Bái
Huyện Trảng Bom, Tỉnh Đồng Nai
Huyện Trấn Yên, Tỉnh Yên Bái
Huyện Trần Văn Thời, Tỉnh Cà Mau
Huyện Trần Đề, Tỉnh Sóc Trăng
Huyện Trực Ninh, Tỉnh Nam Định
Huyện Tu Mơ Rông, Tỉnh Kon Tum
Huyện Tuy An, Tỉnh Phú Yên
Huyện Tuy Phong, Tỉnh Bình Thuận
Huyện Tuy Phước, Tỉnh Bình Định
Huyện Tuy Đức, Tỉnh Đắk Nông
Huyện Tuyên Hóa, Tỉnh Quảng Bình
Huyện Tuần Giáo, Tỉnh Điện Biên
Huyện Tánh Linh, Tỉnh Bình Thuận
Huyện Tân Biên, Tỉnh Tây Ninh
Huyện Tân Châu, Tỉnh Tây Ninh
Huyện Tân Hiệp, Tỉnh Kiên Giang
Huyện Tân Hưng, Tỉnh Long An
Huyện Tân Hồng, Tỉnh Đồng Tháp
Huyện Tân Kỳ, Tỉnh Nghệ An
Huyện Tân Lạc, Tỉnh Hoà Bình
Huyện Tân Phú Đông, Tỉnh Tiền Giang
Huyện Tân Phú, Tỉnh Đồng Nai
Huyện Tân Phước, Tỉnh Tiền Giang
Huyện Tân Sơn, Tỉnh Phú Thọ
Huyện Tân Thạnh, Tỉnh Long An
Huyện Tân Trụ, Tỉnh Long An
Huyện Tân Uyên, Tỉnh Lai Châu
Huyện Tân Yên, Tỉnh Bắc Giang
Huyện Tây Giang, Tỉnh Quảng Nam
Huyện Tây Hoà, Tỉnh Phú Yên
Huyện Tây Sơn, Tỉnh Bình Định
Huyện Tư Nghĩa, Tỉnh Quảng Ngãi
Huyện Tương Dương, Tỉnh Nghệ An
Huyện Tủa Chùa, Tỉnh Điện Biên
Huyện Tứ Kỳ, Tỉnh Hải Dương
Huyện U Minh Thượng, Tỉnh Kiên Giang
Huyện U Minh, Tỉnh Cà Mau
Huyện Vân Canh, Tỉnh Bình Định
Huyện Vân Hồ, Tỉnh Sơn La
Huyện Vân Đồn, Tỉnh Quảng Ninh
Huyện Võ Nhai, Tỉnh Thái Nguyên
Huyện Văn Bàn, Tỉnh Lào Cai
Huyện Văn Chấn, Tỉnh Yên Bái
Huyện Văn Giang, Tỉnh Hưng Yên
Huyện Văn Lâm, Tỉnh Hưng Yên
Huyện Văn Lãng, Tỉnh Lạng Sơn
Huyện Văn Quan, Tỉnh Lạng Sơn
Huyện Văn Yên, Tỉnh Yên Bái
Huyện Vĩnh Bảo, Thành phố Hải Phòng
Huyện Vĩnh Cửu, Tỉnh Đồng Nai
Huyện Vĩnh Hưng, Tỉnh Long An
Huyện Vĩnh Linh, Tỉnh Quảng Trị
Huyện Vĩnh Lộc, Tỉnh Thanh Hóa
Huyện Vĩnh Lợi, Tỉnh Bạc Liêu
Huyện Vĩnh Thuận, Tỉnh Kiên Giang
Huyện Vĩnh Thạnh, Thành phố Cần Thơ
Huyện Vĩnh Thạnh, Tỉnh Bình Định
Huyện Vĩnh Tường, Tỉnh Vĩnh Phúc
Huyện Vũ Quang, Tỉnh Hà Tĩnh
Huyện Vũ Thư, Tỉnh Thái Bình
Huyện Vũng Liêm, Tỉnh Vĩnh Long
Huyện Vạn Ninh, Tỉnh Khánh Hòa
Huyện Vị Thuỷ, Tỉnh Hậu Giang
Huyện Vị Xuyên, Tỉnh Hà Giang
Huyện Vụ Bản, Tỉnh Nam Định
Huyện Xuyên Mộc, Tỉnh Bà Rịa - Vũng Tàu
Huyện Xuân Lộc, Tỉnh Đồng Nai
Huyện Xuân Trường, Tỉnh Nam Định
Huyện Xín Mần, Tỉnh Hà Giang
Huyện Yên Bình, Tỉnh Yên Bái
Huyện Yên Châu, Tỉnh Sơn La
Huyện Yên Khánh, Tỉnh Ninh Bình
Huyện Yên Lạc, Tỉnh Vĩnh Phúc
Huyện Yên Lập, Tỉnh Phú Thọ
Huyện Yên Minh, Tỉnh Hà Giang
Huyện Yên Mô, Tỉnh Ninh Bình
Huyện Yên Mỹ, Tỉnh Hưng Yên
Huyện Yên Phong, Tỉnh Bắc Ninh
Huyện Yên Sơn, Tỉnh Tuyên Quang
Huyện Yên Thành, Tỉnh Nghệ An
Huyện Yên Thế, Tỉnh Bắc Giang
Huyện Yên Thủy, Tỉnh Hoà Bình
Huyện Yên Định, Tỉnh Thanh Hóa
Huyện Ân Thi, Tỉnh Hưng Yên
Huyện Ý Yên, Tỉnh Nam Định
Huyện Đa Krông, Tỉnh Quảng Trị
Huyện Đam Rông, Tỉnh Lâm Đồng
Huyện Đan Phượng, Thành phố Hà Nội
Huyện Điện Biên Đông, Tỉnh Điện Biên
Huyện Điện Biên, Tỉnh Điện Biên
Huyện Đoan Hùng, Tỉnh Phú Thọ
Huyện Đà Bắc, Tỉnh Hoà Bình
Huyện Đình Lập, Tỉnh Lạng Sơn
Huyện Đô Lương, Tỉnh Nghệ An
Huyện Đông Anh, Thành phố Hà Nội
Huyện Đông Giang, Tỉnh Quảng Nam
Huyện Đông Hưng, Tỉnh Thái Bình
Huyện Đông Hải, Tỉnh Bạc Liêu
Huyện Đăk Glong, Tỉnh Đắk Nông
Huyện Đăk Pơ, Tỉnh Gia Lai
Huyện Đăk Đoa, Tỉnh Gia Lai
Huyện Đơn Dương, Tỉnh Lâm Đồng
Huyện Đạ Huoai, Tỉnh Lâm Đồng
Huyện Đại Lộc, Tỉnh Quảng Nam
Huyện Đại Từ, Tỉnh Thái Nguyên
Huyện Đầm Dơi, Tỉnh Cà Mau
Huyện Đầm Hà, Tỉnh Quảng Ninh
Huyện Đắk Glei, Tỉnh Kon Tum
Huyện Đắk Hà, Tỉnh Kon Tum
Huyện Đắk Mil, Tỉnh Đắk Nông
Huyện Đắk R'Lấp, Tỉnh Đắk Nông
Huyện Đắk Song, Tỉnh Đắk Nông
Huyện Đắk Tô, Tỉnh Kon Tum
Huyện Định Hóa, Tỉnh Thái Nguyên
Huyện Định Quán, Tỉnh Đồng Nai
Huyện Đồng Hỷ, Tỉnh Thái Nguyên
Huyện Đồng Phú, Tỉnh Bình Phước
Huyện Đồng Văn, Tỉnh Hà Giang
Huyện Đồng Xuân, Tỉnh Phú Yên
Huyện Đức Cơ, Tỉnh Gia Lai
Huyện Đức Huệ, Tỉnh Long An
Huyện Đức Hòa, Tỉnh Long An
Huyện Đức Linh, Tỉnh Bình Thuận
Huyện Đức Thọ, Tỉnh Hà Tĩnh
Huyện Đức Trọng, Tỉnh Lâm Đồng
Huyện Ứng Hòa, Thành phố Hà Nội
Phường 1, Quận 10, Thành phố Hồ Chí Minh
Phường 1, Quận 11, Thành phố Hồ Chí Minh
Phường 1, Quận 3, Thành phố Hồ Chí Minh
Phường 1, Quận 4, Thành phố Hồ Chí Minh
Phường 1, Quận 5, Thành phố Hồ Chí Minh
Phường 1, Quận 6, Thành phố Hồ Chí Minh
Phường 1, Quận Bình Thạnh, Thành phố Hồ Chí Minh
Phường 1, Quận Gò Vấp, Thành phố Hồ Chí Minh
Phường 1, Quận Phú Nhuận, Thành phố Hồ Chí Minh
Phường 1, Quận Tân Bình, Thành phố Hồ Chí Minh
Phường 1, Thành phố Bạc Liêu, Tỉnh Bạc Liêu
Phường 1, Thành phố Bảo Lộc, Tỉnh Lâm Đồng
Phường 1, Thành phố Cao Lãnh, Tỉnh Đồng Tháp
Phường 1, Thành phố Cà Mau, Tỉnh Cà Mau
Phường 1, Thành phố Gò Công, Tỉnh Tiền Giang
Phường 1, Thành phố Mỹ Tho, Tỉnh Tiền Giang
Phường 1, Thành phố Sa Đéc, Tỉnh Đồng Tháp
Phường 1, Thành phố Sóc Trăng, Tỉnh Sóc Trăng
Phường 1, Thành phố Trà Vinh, Tỉnh Trà Vinh
Phường 1, Thành phố Tuy Hoà, Tỉnh Phú Yên
Phường 1, Thành phố Tân An, Tỉnh Long An
Phường 1, Thành phố Tây Ninh, Tỉnh Tây Ninh
Phường 1, Thành phố Vĩnh Long, Tỉnh Vĩnh Long
Phường 1, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
